LSOA code,local authority code,local authority name,All households ,Detached,Semi-detached,Terraced,Purpose built flat,Flat in a converted/ shared house (includes all households in shared dwellings),Flat in a commercial building,Caravan / other mobile or temporary structure
E01001122,E09000008,Croydon,507,158,301,16,21,5,6,0
E01001123,E09000008,Croydon,598,163,412,16,3,0,4,0
E01001124,E09000008,Croydon,609,185,326,97,0,0,1,0
E01001125,E09000008,Croydon,602,39,444,40,19,8,52,0
E01001126,E09000008,Croydon,598,71,331,69,112,14,1,0
E01001127,E09000008,Croydon,574,51,464,15,39,1,4,0
E01001128,E09000008,Croydon,566,14,160,154,235,2,1,0
E01001129,E09000008,Croydon,502,39,450,10,3,0,0,0
E01001130,E09000008,Croydon,598,15,26,64,490,3,0,0
E01001131,E09000008,Croydon,685,49,125,353,152,3,3,0
E01001132,E09000008,Croydon,607,192,333,16,62,4,0,0
E01001133,E09000008,Croydon,726,183,250,74,210,6,3,0
E01001134,E09000008,Croydon,697,170,176,226,80,28,17,0
E01001135,E09000008,Croydon,631,147,384,35,44,3,18,0
E01001136,E09000008,Croydon,927,29,89,77,405,270,57,0
E01001137,E09000008,Croydon,875,77,73,126,426,162,11,0
E01001138,E09000008,Croydon,774,39,83,119,350,182,1,0
E01001139,E09000008,Croydon,694,23,132,273,159,101,6,0
E01001140,E09000008,Croydon,773,25,123,45,496,82,1,1
E01001141,E09000008,Croydon,568,18,54,86,321,87,2,0
E01001142,E09000008,Croydon,620,22,219,156,138,81,4,0
E01001143,E09000008,Croydon,848,30,83,330,319,79,7,0
E01001144,E09000008,Croydon,797,13,82,175,228,298,1,0
E01001145,E09000008,Croydon,848,16,45,100,481,155,51,0
E01001146,E09000008,Croydon,607,30,139,340,56,41,1,0
E01001147,E09000008,Croydon,620,38,154,183,163,74,7,1
E01001148,E09000008,Croydon,673,23,117,295,118,120,0,0
E01001149,E09000008,Croydon,619,29,118,212,113,146,1,0
E01001150,E09000008,Croydon,620,24,81,351,84,80,0,0
E01001151,E09000008,Croydon,671,50,204,134,183,85,15,0
E01001152,E09000008,Croydon,674,26,131,165,158,166,28,0
E01001153,E09000008,Croydon,591,19,108,340,45,77,2,0
E01001154,E09000008,Croydon,735,26,164,301,117,73,54,0
E01001155,E09000008,Croydon,761,16,73,190,374,85,21,2
E01001156,E09000008,Croydon,721,47,101,126,334,111,2,0
E01001157,E09000008,Croydon,615,38,313,143,82,33,6,0
E01001158,E09000008,Croydon,700,20,99,193,326,51,10,1
E01001159,E09000008,Croydon,741,263,130,56,262,25,5,0
E01001160,E09000008,Croydon,627,52,411,105,22,25,12,0
E01001161,E09000008,Croydon,566,43,321,116,50,30,6,0
E01001162,E09000008,Croydon,767,59,133,133,279,161,1,1
E01001163,E09000008,Croydon,798,58,245,181,195,115,4,0
E01001164,E09000008,Croydon,962,38,74,115,289,363,83,0
E01001165,E09000008,Croydon,676,36,169,292,70,101,8,0
E01001166,E09000008,Croydon,835,26,124,214,309,138,24,0
E01001167,E09000008,Croydon,829,20,275,299,201,17,17,0
E01001168,E09000008,Croydon,740,26,186,262,198,64,4,0
E01001169,E09000008,Croydon,651,22,355,122,138,14,0,0
E01001170,E09000008,Croydon,989,26,72,46,673,157,15,0
E01001171,E09000008,Croydon,681,89,101,69,407,15,0,0
E01001172,E09000008,Croydon,616,30,286,205,85,10,0,0
E01001173,E09000008,Croydon,1089,145,202,184,501,54,3,0
E01001174,E09000008,Croydon,523,28,76,378,15,26,0,0
E01001175,E09000008,Croydon,527,33,108,261,83,38,4,0
E01001176,E09000008,Croydon,628,38,193,192,119,73,13,0
E01001177,E09000008,Croydon,551,36,116,306,83,6,4,0
E01001178,E09000008,Croydon,505,15,89,96,164,126,15,0
E01001179,E09000008,Croydon,538,37,102,376,11,10,2,0
E01001180,E09000008,Croydon,609,39,129,316,56,67,2,0
E01001181,E09000008,Croydon,759,21,94,120,466,50,7,1
E01001182,E09000008,Croydon,462,29,119,193,39,53,29,0
E01001183,E09000008,Croydon,550,32,57,219,191,22,29,0
E01001184,E09000008,Croydon,456,22,81,321,10,22,0,0
E01001185,E09000008,Croydon,717,31,130,272,150,114,20,0
E01001186,E09000008,Croydon,841,33,89,216,333,142,28,0
E01001187,E09000008,Croydon,809,21,201,301,265,21,0,0
E01001188,E09000008,Croydon,728,30,133,348,122,90,5,0
E01001189,E09000008,Croydon,465,13,43,365,36,8,0,0
E01001190,E09000008,Croydon,827,18,105,455,200,46,3,0
E01001191,E09000008,Croydon,823,26,106,179,243,214,55,0
E01001192,E09000008,Croydon,516,26,105,163,157,64,1,0
E01001193,E09000008,Croydon,583,36,128,368,38,11,2,0
E01001194,E09000008,Croydon,624,27,76,488,15,18,0,0
E01032569,E09000008,Croydon,660,24,183,153,289,3,8,0
E01034139,E09000008,Croydon,448,18,96,60,185,75,14,0
E01034140,E09000008,Croydon,665,16,45,50,478,71,4,1
E01034141,E09000008,Croydon,243,4,7,9,216,5,1,1
E01034142,E09000008,Croydon,567,6,21,28,377,126,8,1
E01034143,E09000008,Croydon,139,7,10,3,89,25,5,0
E01034144,E09000008,Croydon,296,7,34,130,113,12,0,0
E01034145,E09000008,Croydon,526,17,78,108,285,16,22,0
E01034146,E09000008,Croydon,364,3,6,21,324,9,1,0
E01034147,E09000008,Croydon,0,0,0,0,0,0,0,0
E01034148,E09000008,Croydon,0,0,0,0,0,0,0,0
E01034149,E09000008,Croydon,953,22,55,49,561,248,18,0
E01034150,E09000008,Croydon,316,5,6,14,235,20,36,0
E01034151,E09000008,Croydon,280,2,6,24,223,11,14,0
E01034152,E09000008,Croydon,606,23,55,128,254,90,56,0
E01001195,E09000009,Ealing,598,27,434,102,17,17,1,0
E01001196,E09000009,Ealing,762,25,158,28,480,57,13,1
E01001197,E09000009,Ealing,668,52,233,24,195,157,7,0
E01001198,E09000009,Ealing,584,20,120,166,47,231,0,0
E01001199,E09000009,Ealing,694,19,122,49,218,277,9,0
E01001200,E09000009,Ealing,586,24,173,116,87,171,15,0
E01001201,E09000009,Ealing,642,21,92,144,104,279,2,0
E01001202,E09000009,Ealing,871,20,90,99,454,158,50,0
E01001203,E09000009,Ealing,861,12,49,80,285,410,25,0
E01001204,E09000009,Ealing,585,44,221,114,179,27,0,0
E01001205,E09000009,Ealing,598,31,115,98,293,60,0,1
E01001206,E09000009,Ealing,582,7,61,43,450,19,2,0
E01001207,E09000009,Ealing,668,28,85,235,123,188,9,0
E01001208,E09000009,Ealing,498,3,261,178,37,19,0,0
E01001209,E09000009,Ealing,647,20,121,345,105,16,40,0
E01001210,E09000009,Ealing,740,14,133,37,542,13,1,0
E01001211,E09000009,Ealing,705,28,176,81,358,60,1,1
E01001212,E09000009,Ealing,691,56,126,139,326,42,2,0
E01001213,E09000009,Ealing,503,42,191,189,61,17,3,0
E01001214,E09000009,Ealing,477,36,255,157,16,13,0,0
E01001215,E09000009,Ealing,552,29,185,122,148,55,11,2
E01001216,E09000009,Ealing,476,21,201,42,191,18,3,0
E01001217,E09000009,Ealing,455,27,86,315,11,16,0,0
E01001218,E09000009,Ealing,692,36,73,150,401,29,3,0
E01001219,E09000009,Ealing,674,21,143,138,344,28,0,0
E01001220,E09000009,Ealing,471,19,30,27,377,10,8,0
E01001223,E09000009,Ealing,643,133,25,25,225,234,1,0
E01001224,E09000009,Ealing,570,96,282,27,37,128,0,0
E01001225,E09000009,Ealing,807,90,52,131,323,200,11,0
E01001226,E09000009,Ealing,668,76,32,42,306,208,4,0
E01001227,E09000009,Ealing,602,76,174,131,91,130,0,0
E01001228,E09000009,Ealing,792,97,53,10,359,268,2,3
E01001229,E09000009,Ealing,597,16,144,176,209,50,2,0
E01001230,E09000009,Ealing,629,46,165,119,107,180,12,0
E01001231,E09000009,Ealing,696,169,237,25,179,78,8,0
E01001232,E09000009,Ealing,612,32,160,197,212,9,1,1
E01001233,E09000009,Ealing,599,16,112,260,148,55,8,0
E01001234,E09000009,Ealing,640,72,42,37,152,337,0,0
E01001235,E09000009,Ealing,691,37,11,43,363,233,4,0
E01001236,E09000009,Ealing,741,49,86,19,325,260,2,0
E01001237,E09000009,Ealing,652,69,120,57,136,268,2,0
E01001239,E09000009,Ealing,553,27,140,91,249,44,1,1
E01001240,E09000009,Ealing,512,29,213,133,82,40,15,0
E01001241,E09000009,Ealing,503,25,220,83,129,46,0,0
E01001242,E09000009,Ealing,524,46,182,26,180,89,1,0
E01001243,E09000009,Ealing,649,13,139,61,382,39,13,2
E01001244,E09000009,Ealing,971,10,41,18,863,37,2,0
E01001245,E09000009,Ealing,951,15,106,103,482,235,10,0
E01001246,E09000009,Ealing,492,33,69,291,49,41,1,8
E01001247,E09000009,Ealing,674,24,206,253,128,56,5,2
E01001248,E09000009,Ealing,581,20,240,84,157,78,2,0
E01001249,E09000009,Ealing,1025,8,33,119,677,161,27,0
E01001250,E09000009,Ealing,983,21,77,210,468,196,11,0
E01001251,E09000009,Ealing,659,19,79,303,99,142,17,0
E01001252,E09000009,Ealing,768,36,94,257,175,151,54,1
E01001253,E09000009,Ealing,670,24,120,303,123,92,7,1
E01001254,E09000009,Ealing,750,14,179,250,202,101,4,0
E01001255,E09000009,Ealing,608,14,147,251,42,150,4,0
E01001257,E09000009,Ealing,783,17,121,119,483,39,4,0
E01001258,E09000009,Ealing,634,27,118,232,222,32,2,1
E01001259,E09000009,Ealing,510,28,89,219,122,31,20,1
E01001260,E09000009,Ealing,660,30,332,59,166,61,12,0
E01001261,E09000009,Ealing,758,26,206,201,199,42,84,0
E01001262,E09000009,Ealing,558,16,123,101,308,3,7,0
E01001263,E09000009,Ealing,523,16,63,145,295,3,0,1
E01001264,E09000009,Ealing,612,126,141,130,190,23,2,0
E01001265,E09000009,Ealing,627,25,171,180,174,75,2,0
E01001266,E09000009,Ealing,578,20,482,28,26,19,2,1
E01001267,E09000009,Ealing,944,47,174,107,506,90,20,0
E01001268,E09000009,Ealing,499,59,351,11,59,18,1,0
E01001269,E09000009,Ealing,646,20,171,300,122,24,9,0
E01001270,E09000009,Ealing,565,16,154,344,22,28,1,0
E01001271,E09000009,Ealing,593,18,179,260,94,22,20,0
E01001272,E09000009,Ealing,542,34,270,104,95,28,11,0
E01001273,E09000009,Ealing,597,222,110,42,168,42,13,0
E01001274,E09000009,Ealing,585,44,125,209,190,16,1,0
E01001275,E09000009,Ealing,857,102,9,33,306,404,3,0
E01001276,E09000009,Ealing,651,31,239,156,199,25,1,0
E01001277,E09000009,Ealing,668,19,277,115,207,42,8,0
E01001278,E09000009,Ealing,801,183,125,27,390,54,22,0
E01001279,E09000009,Ealing,564,30,264,240,17,13,0,0
E01001280,E09000009,Ealing,782,47,36,56,575,64,1,3
E01001281,E09000009,Ealing,625,11,90,340,172,10,2,0
E01001282,E09000009,Ealing,627,22,177,240,179,8,1,0
E01001283,E09000009,Ealing,712,13,106,179,364,49,1,0
E01001284,E09000009,Ealing,538,21,273,186,22,34,2,0
E01001285,E09000009,Ealing,562,41,167,248,58,36,12,0
E01001286,E09000009,Ealing,620,33,104,361,100,21,1,0
E01001287,E09000009,Ealing,483,12,137,51,253,30,0,0
E01001288,E09000009,Ealing,531,23,134,199,61,99,15,0
E01001289,E09000009,Ealing,476,23,130,195,49,78,1,0
E01001290,E09000009,Ealing,738,64,135,80,317,117,25,0
E01001291,E09000009,Ealing,376,26,87,233,11,19,0,0
E01001292,E09000009,Ealing,504,34,89,352,10,19,0,0
E01001293,E09000009,Ealing,597,41,115,356,49,22,14,0
E01001294,E09000009,Ealing,538,38,193,247,23,26,11,0
E01001295,E09000009,Ealing,521,29,123,344,15,10,0,0
E01001296,E09000009,Ealing,404,29,144,219,9,3,0,0
E01001297,E09000009,Ealing,495,34,89,251,85,28,8,0
E01001298,E09000009,Ealing,529,34,208,182,65,25,14,1
E01001299,E09000009,Ealing,651,32,254,273,56,25,11,0
E01001300,E09000009,Ealing,608,9,80,376,38,95,10,0
E01001301,E09000009,Ealing,707,7,43,153,312,145,47,0
E01001302,E09000009,Ealing,614,25,106,281,97,87,18,0
E01001303,E09000009,Ealing,624,8,108,332,94,66,16,0
E01001304,E09000009,Ealing,705,24,84,188,142,261,6,0
E01001305,E09000009,Ealing,634,32,197,317,27,58,2,1
E01001306,E09000009,Ealing,713,15,81,471,112,32,2,0
E01001307,E09000009,Ealing,633,26,103,381,56,40,27,0
E01001308,E09000009,Ealing,679,35,476,71,62,15,14,6
E01001309,E09000009,Ealing,614,20,401,112,36,43,2,0
E01001310,E09000009,Ealing,663,14,222,139,248,36,4,0
E01001311,E09000009,Ealing,663,43,108,346,149,14,3,0
E01001312,E09000009,Ealing,590,28,173,262,73,40,14,0
E01001313,E09000009,Ealing,516,21,130,328,14,23,0,0
E01001314,E09000009,Ealing,506,25,91,333,30,23,4,0
E01001315,E09000009,Ealing,495,17,121,263,73,19,2,0
E01001316,E09000009,Ealing,620,16,121,48,414,21,0,0
E01001317,E09000009,Ealing,686,37,176,167,279,26,1,0
E01001318,E09000009,Ealing,677,7,136,149,357,24,3,1
E01001319,E09000009,Ealing,490,18,130,315,14,11,2,0
E01001320,E09000009,Ealing,534,18,56,161,296,3,0,0
E01001321,E09000009,Ealing,758,39,446,76,166,23,8,0
E01001322,E09000009,Ealing,627,25,243,128,159,42,0,30
E01001323,E09000009,Ealing,684,34,220,101,277,21,30,1
E01001324,E09000009,Ealing,662,30,99,81,442,9,1,0
E01001325,E09000009,Ealing,602,16,347,57,159,14,7,2
E01001326,E09000009,Ealing,674,30,145,130,331,33,5,0
E01001327,E09000009,Ealing,600,32,194,230,118,12,14,0
E01001328,E09000009,Ealing,620,6,212,35,342,15,10,0
E01001329,E09000009,Ealing,631,19,302,55,237,18,0,0
E01001330,E09000009,Ealing,636,14,68,190,351,12,1,0
E01001331,E09000009,Ealing,618,5,57,70,472,12,2,0
E01001332,E09000009,Ealing,579,13,58,132,376,0,0,0
E01001333,E09000009,Ealing,563,39,107,113,191,99,14,0
E01001334,E09000009,Ealing,522,26,102,95,284,13,2,0
E01001335,E09000009,Ealing,524,171,175,35,123,17,3,0
E01001336,E09000009,Ealing,519,67,164,89,181,9,8,1
E01001337,E09000009,Ealing,452,41,137,174,89,9,0,2
E01001338,E09000009,Ealing,518,39,214,111,126,25,2,1
E01001339,E09000009,Ealing,568,49,159,80,252,5,4,19
E01001340,E09000009,Ealing,506,19,55,106,290,32,1,3
E01001341,E09000009,Ealing,529,39,103,303,27,38,18,1
E01001342,E09000009,Ealing,638,24,136,257,176,30,15,0
E01001343,E09000009,Ealing,483,14,196,249,5,19,0,0
E01001344,E09000009,Ealing,880,26,181,261,384,28,0,0
E01001345,E09000009,Ealing,501,17,307,133,22,22,0,0
E01001346,E09000009,Ealing,634,20,243,325,22,24,0,0
E01001347,E09000009,Ealing,518,18,210,238,20,27,5,0
E01001348,E09000009,Ealing,626,22,176,152,241,19,16,0
E01001349,E09000009,Ealing,507,19,210,173,89,16,0,0
E01001350,E09000009,Ealing,621,53,176,8,185,198,1,0
E01001351,E09000009,Ealing,811,24,119,61,364,198,45,0
E01001352,E09000009,Ealing,571,25,159,28,140,203,16,0
E01001353,E09000009,Ealing,718,17,88,47,371,190,5,0
E01001354,E09000009,Ealing,677,39,263,44,121,195,15,0
E01001355,E09000009,Ealing,760,30,48,196,205,266,15,0
E01001356,E09000009,Ealing,841,11,10,32,755,22,10,1
E01001357,E09000009,Ealing,426,10,19,40,315,40,2,0
E01001358,E09000009,Ealing,586,9,17,26,512,20,1,1
E01001359,E09000009,Ealing,562,47,124,267,52,38,32,2
E01001360,E09000009,Ealing,505,45,140,274,27,19,0,0
E01001361,E09000009,Ealing,460,30,101,120,134,34,41,0
E01001362,E09000009,Ealing,511,47,99,253,54,55,3,0
E01001363,E09000009,Ealing,471,46,79,184,123,33,5,1
E01001364,E09000009,Ealing,516,49,139,191,110,25,2,0
E01001365,E09000009,Ealing,590,52,100,342,51,39,5,1
E01001366,E09000009,Ealing,543,41,125,219,112,44,2,0
E01001367,E09000009,Ealing,527,38,139,106,109,84,48,3
E01001368,E09000009,Ealing,456,39,109,235,56,11,6,0
E01001369,E09000009,Ealing,525,48,121,161,105,82,8,0
E01001370,E09000009,Ealing,532,50,188,220,35,35,4,0
E01001371,E09000009,Ealing,594,51,99,244,131,49,20,0
E01001372,E09000009,Ealing,493,53,94,241,45,52,8,0
E01001373,E09000009,Ealing,412,57,86,209,30,20,9,1
E01001374,E09000009,Ealing,805,14,55,316,236,180,3,1
E01001375,E09000009,Ealing,706,14,73,421,67,125,6,0
E01001376,E09000009,Ealing,743,14,74,139,325,186,3,2
E01001377,E09000009,Ealing,718,66,215,100,191,145,1,0
E01001379,E09000009,Ealing,709,26,118,381,34,143,7,0
E01001380,E09000009,Ealing,762,16,67,307,106,264,2,0
E01001381,E09000009,Ealing,738,17,76,243,149,216,37,0
E01001382,E09000009,Ealing,564,29,219,215,16,83,2,0
E01001383,E09000009,Ealing,662,22,226,190,31,190,3,0
E01001384,E09000009,Ealing,677,19,45,414,28,144,26,1
E01001385,E09000009,Ealing,667,18,85,397,34,83,50,0
E01001386,E09000009,Ealing,735,40,212,212,69,180,22,0
E01001387,E09000009,Ealing,713,66,82,31,270,255,8,1
E01001388,E09000009,Ealing,743,21,110,113,383,84,31,1
E01001389,E09000009,Ealing,726,25,108,167,162,231,32,1
E01032572,E09000009,Ealing,758,11,52,125,388,158,24,0
E01032743,E09000009,Ealing,818,13,74,60,647,15,1,8
E01032744,E09000009,Ealing,486,17,131,50,265,9,14,0
E01034026,E09000009,Ealing,471,3,12,3,427,18,5,3
E01034027,E09000009,Ealing,765,17,112,70,405,151,7,3
E01034028,E09000009,Ealing,565,25,45,16,204,243,31,1
E01034029,E09000009,Ealing,585,6,62,10,427,62,17,1
E01034030,E09000009,Ealing,952,38,34,61,277,429,113,0
E01034031,E09000009,Ealing,0,0,0,0,0,0,0,0
E01001390,E09000010,Enfield,762,17,180,220,126,217,2,0
E01001391,E09000010,Enfield,687,19,48,153,208,256,1,2
E01001392,E09000010,Enfield,665,23,85,447,30,76,4,0
E01001393,E09000010,Enfield,839,32,82,249,153,302,21,0
E01001394,E09000010,Enfield,640,37,88,290,158,47,20,0
E01001395,E09000010,Enfield,620,22,105,173,301,18,1,0
E01001396,E09000010,Enfield,511,14,130,219,32,87,29,0
E01001397,E09000010,Enfield,783,25,101,253,359,41,4,0
E01001398,E09000010,Enfield,491,22,194,252,4,19,0,0
E01001399,E09000010,Enfield,499,12,292,167,16,7,5,0
E01001400,E09000010,Enfield,447,54,253,80,49,9,2,0
E01001401,E09000010,Enfield,501,10,95,381,7,6,2,0
E01001402,E09000010,Enfield,691,36,305,164,107,53,26,0
E01001403,E09000010,Enfield,773,28,208,350,170,9,8,0
E01001404,E09000010,Enfield,525,18,164,280,50,13,0,0
E01001405,E09000010,Enfield,862,61,97,77,602,21,4,0
E01001406,E09000010,Enfield,675,31,196,141,150,133,24,0
E01001407,E09000010,Enfield,487,46,89,267,58,18,9,0
E01001408,E09000010,Enfield,731,41,72,454,100,51,13,0
E01001409,E09000010,Enfield,806,16,118,281,377,13,1,0
E01001410,E09000010,Enfield,881,24,69,229,549,9,1,0
E01001411,E09000010,Enfield,759,25,179,333,120,64,38,0
E01001412,E09000010,Enfield,677,268,110,159,101,8,7,24
E01001413,E09000010,Enfield,612,73,404,76,38,20,1,0
E01001414,E09000010,Enfield,687,13,79,104,483,6,1,1
E01001415,E09000010,Enfield,677,71,188,23,312,36,47,0
E01001416,E09000010,Enfield,720,64,562,18,43,7,26,0
E01001417,E09000010,Enfield,601,423,62,41,62,12,1,0
E01001418,E09000010,Enfield,703,50,349,14,264,17,9,0
E01001419,E09000010,Enfield,672,45,177,38,390,18,4,0
E01001420,E09000010,Enfield,569,56,101,231,165,15,1,0
E01001421,E09000010,Enfield,714,38,57,119,467,28,5,0
E01001422,E09000010,Enfield,559,386,93,13,48,16,3,0
E01001423,E09000010,Enfield,496,30,169,179,90,28,0,0
E01001424,E09000010,Enfield,643,33,45,120,427,15,3,0
E01001425,E09000010,Enfield,737,27,45,189,403,67,3,3
E01001426,E09000010,Enfield,628,34,219,121,233,14,6,1
E01001427,E09000010,Enfield,683,27,51,140,426,29,9,1
E01001428,E09000010,Enfield,611,30,300,99,160,17,5,0
E01001429,E09000010,Enfield,1134,20,37,79,940,27,31,0
E01001430,E09000010,Enfield,653,23,30,81,500,17,2,0
E01001431,E09000010,Enfield,614,47,105,156,283,22,1,0
E01001432,E09000010,Enfield,700,59,84,265,183,84,24,1
E01001433,E09000010,Enfield,584,43,134,357,36,8,6,0
E01001434,E09000010,Enfield,551,32,133,327,42,17,0,0
E01001435,E09000010,Enfield,489,20,112,328,16,13,0,0
E01001436,E09000010,Enfield,653,39,192,335,48,36,3,0
E01001437,E09000010,Enfield,990,21,157,152,640,17,3,0
E01001438,E09000010,Enfield,566,30,219,173,111,23,10,0
E01001439,E09000010,Enfield,790,28,119,139,361,79,63,1
E01001440,E09000010,Enfield,597,25,120,270,144,31,7,0
E01001441,E09000010,Enfield,637,21,106,188,296,18,8,0
E01001442,E09000010,Enfield,617,22,63,156,346,9,21,0
E01001444,E09000010,Enfield,638,22,292,182,107,34,1,0
E01001445,E09000010,Enfield,980,53,113,345,446,21,2,0
E01001446,E09000010,Enfield,714,60,216,176,194,64,4,0
E01001447,E09000010,Enfield,783,58,152,241,268,54,10,0
E01001448,E09000010,Enfield,655,48,131,297,119,50,10,0
E01001449,E09000010,Enfield,575,30,153,321,47,19,5,0
E01001450,E09000010,Enfield,924,52,101,80,604,50,37,0
E01001451,E09000010,Enfield,661,118,311,73,132,25,2,0
E01001452,E09000010,Enfield,378,171,146,25,31,3,2,0
E01001453,E09000010,Enfield,661,200,226,41,175,18,1,0
E01001454,E09000010,Enfield,660,131,265,29,192,26,17,0
E01001455,E09000010,Enfield,581,16,161,279,112,6,7,0
E01001456,E09000010,Enfield,591,48,435,52,29,22,5,0
E01001457,E09000010,Enfield,798,81,86,139,463,24,5,0
E01001458,E09000010,Enfield,664,22,54,130,428,21,9,0
E01001459,E09000010,Enfield,556,42,130,347,21,13,3,0
E01001460,E09000010,Enfield,660,43,81,186,255,89,6,0
E01001461,E09000010,Enfield,707,24,124,118,305,131,3,2
E01001462,E09000010,Enfield,531,26,91,161,180,72,0,1
E01001463,E09000010,Enfield,513,23,217,220,13,27,13,0
E01001464,E09000010,Enfield,422,21,324,24,25,25,3,0
E01001465,E09000010,Enfield,506,28,88,324,28,27,11,0
E01001466,E09000010,Enfield,620,64,74,430,18,31,3,0
E01001467,E09000010,Enfield,634,54,97,404,42,33,4,0
E01001468,E09000010,Enfield,524,87,150,58,202,27,0,0
E01001469,E09000010,Enfield,633,46,157,281,140,9,0,0
E01001470,E09000010,Enfield,641,85,380,55,111,4,6,0
E01001471,E09000010,Enfield,930,91,83,84,645,27,0,0
E01001472,E09000010,Enfield,904,97,219,113,359,88,28,0
E01001473,E09000010,Enfield,547,80,381,77,5,2,1,1
E01001474,E09000010,Enfield,707,163,93,62,347,41,1,0
E01001475,E09000010,Enfield,635,153,443,25,14,0,0,0
E01001476,E09000010,Enfield,593,27,158,282,86,35,5,0
E01001477,E09000010,Enfield,607,34,141,342,70,15,3,2
E01001478,E09000010,Enfield,544,34,174,300,25,8,2,1
E01001479,E09000010,Enfield,639,56,135,262,121,26,39,0
E01001480,E09000010,Enfield,588,14,104,248,184,38,0,0
E01001481,E09000010,Enfield,556,36,113,365,38,4,0,0
E01001482,E09000010,Enfield,690,32,82,260,292,19,5,0
E01001483,E09000010,Enfield,609,18,36,117,427,10,1,0
E01001484,E09000010,Enfield,516,37,128,340,5,6,0,0
E01001485,E09000010,Enfield,552,43,36,233,198,40,2,0
E01001486,E09000010,Enfield,818,56,100,283,353,21,5,0
E01001487,E09000010,Enfield,723,53,65,392,145,62,6,0
E01001488,E09000010,Enfield,663,51,102,378,75,57,0,0
E01001489,E09000010,Enfield,664,57,127,374,63,16,27,0
E01001491,E09000010,Enfield,722,49,87,355,160,68,2,1
E01001492,E09000010,Enfield,810,59,247,420,64,19,0,1
E01001493,E09000010,Enfield,735,29,223,198,202,78,5,0
E01001494,E09000010,Enfield,510,18,123,353,6,9,1,0
E01001495,E09000010,Enfield,731,10,101,198,113,270,37,2
E01001496,E09000010,Enfield,602,31,202,275,56,37,1,0
E01001497,E09000010,Enfield,531,22,116,335,43,11,4,0
E01001498,E09000010,Enfield,746,9,68,247,105,250,67,0
E01001499,E09000010,Enfield,564,14,104,373,31,39,3,0
E01001500,E09000010,Enfield,554,26,85,328,42,71,2,0
E01001501,E09000010,Enfield,818,20,123,112,293,248,21,1
E01001502,E09000010,Enfield,599,41,74,300,151,24,9,0
E01001503,E09000010,Enfield,654,29,130,349,121,16,9,0
E01001504,E09000010,Enfield,513,31,136,252,63,31,0,0
E01001505,E09000010,Enfield,567,39,227,186,62,49,4,0
E01001507,E09000010,Enfield,766,25,58,179,411,57,36,0
E01001508,E09000010,Enfield,718,38,88,250,244,92,6,0
E01001509,E09000010,Enfield,688,35,86,223,317,27,0,0
E01001511,E09000010,Enfield,648,21,93,457,39,30,8,0
E01001512,E09000010,Enfield,782,19,99,315,255,84,10,0
E01001513,E09000010,Enfield,623,26,116,308,158,14,1,0
E01001514,E09000010,Enfield,685,26,96,393,111,53,6,0
E01001515,E09000010,Enfield,755,12,70,130,520,16,7,0
E01001516,E09000010,Enfield,648,35,146,343,93,16,15,0
E01001517,E09000010,Enfield,696,18,51,128,488,11,0,0
E01001518,E09000010,Enfield,684,28,113,320,135,82,6,0
E01001520,E09000010,Enfield,673,45,271,101,237,19,0,0
E01001521,E09000010,Enfield,698,125,227,53,276,14,3,0
E01001522,E09000010,Enfield,751,55,86,156,419,34,1,0
E01001523,E09000010,Enfield,738,29,317,38,330,15,9,0
E01001524,E09000010,Enfield,546,41,260,52,175,18,0,0
E01001525,E09000010,Enfield,723,29,212,293,157,30,2,0
E01001526,E09000010,Enfield,639,78,358,9,184,9,1,0
E01001527,E09000010,Enfield,645,36,191,135,181,88,14,0
E01001528,E09000010,Enfield,553,8,45,106,379,13,2,0
E01001529,E09000010,Enfield,635,23,56,60,363,115,16,2
E01001530,E09000010,Enfield,467,9,75,342,12,24,4,1
E01001531,E09000010,Enfield,544,38,266,92,35,112,1,0
E01001532,E09000010,Enfield,687,46,252,114,59,202,14,0
E01001533,E09000010,Enfield,530,48,416,20,32,12,2,0
E01001534,E09000010,Enfield,588,35,320,103,90,17,23,0
E01001535,E09000010,Enfield,505,26,348,73,27,24,7,0
E01001536,E09000010,Enfield,742,47,123,317,137,89,29,0
E01001537,E09000010,Enfield,709,26,109,219,248,105,2,0
E01001538,E09000010,Enfield,603,11,271,300,15,5,1,0
E01001539,E09000010,Enfield,657,12,158,376,88,20,3,0
E01001540,E09000010,Enfield,794,24,81,266,319,61,43,0
E01001541,E09000010,Enfield,650,12,122,339,154,21,2,0
E01001542,E09000010,Enfield,678,8,131,144,326,33,36,0
E01001543,E09000010,Enfield,596,6,308,260,9,4,9,0
E01001544,E09000010,Enfield,610,14,483,40,55,12,6,0
E01001545,E09000010,Enfield,665,26,163,199,270,6,1,0
E01001546,E09000010,Enfield,640,28,155,314,125,13,5,0
E01001547,E09000010,Enfield,659,42,283,205,102,16,11,0
E01001548,E09000010,Enfield,676,25,106,336,204,4,1,0
E01001549,E09000010,Enfield,798,18,65,160,517,21,17,0
E01001550,E09000010,Enfield,570,30,174,315,45,1,5,0
E01001551,E09000010,Enfield,661,25,139,270,213,7,7,0
E01001552,E09000010,Enfield,659,38,343,140,115,15,7,1
E01001553,E09000010,Enfield,530,46,174,189,101,15,4,1
E01001554,E09000010,Enfield,756,7,14,47,665,17,6,0
E01001555,E09000010,Enfield,624,56,106,347,62,43,8,2
