local authority code,local authority name,LSOA code,All usual residents aged 16-74 ,Economically active: Employee: Full-time,Economically active: Employee: Part-time,Economically active: Full-time student,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Unemployed,Economically inactive: Long-term sick or disabled,Economically inactive: Looking after home or family,Economically inactive: Other,Economically inactive: Retired,Economically inactive:  Full-time students,,
E09000002,Barking and Dagenham,E01000022,899,318,107,36,12,4,36,31,62,42,80,34,61,76,,
E09000002,Barking and Dagenham,E01000024,912,319,115,38,16,3,27,28,55,50,66,49,79,67,,
E09000002,Barking and Dagenham,E01000025,1139,413,141,38,19,2,43,39,83,77,62,58,98,66,,
E09000002,Barking and Dagenham,E01000027,1088,363,147,29,21,1,62,20,82,58,96,28,104,77,,
E09000002,Barking and Dagenham,E01000028,995,314,108,46,13,4,43,16,90,67,68,36,99,91,,
E09000002,Barking and Dagenham,E01000029,1068,375,139,27,22,3,43,37,52,30,44,32,201,63,,
E09000002,Barking and Dagenham,E01000030,1209,386,152,31,12,6,57,35,111,80,123,31,100,85,,
E09000002,Barking and Dagenham,E01000031,1157,473,120,33,21,4,56,27,65,38,61,32,154,73,,
E09000002,Barking and Dagenham,E01000032,1157,412,145,36,17,8,76,35,81,49,82,25,123,68,,
E09000002,Barking and Dagenham,E01000033,919,285,123,32,16,1,49,20,80,45,79,29,96,64,,
E09000002,Barking and Dagenham,E01000034,944,353,109,27,13,1,45,16,54,51,57,29,113,76,,
E09000002,Barking and Dagenham,E01000035,1119,379,148,54,26,1,70,23,71,32,67,37,128,83,,
E09000002,Barking and Dagenham,E01000036,980,383,111,37,23,2,66,32,44,20,61,26,95,80,,
E09000002,Barking and Dagenham,E01000037,1329,555,168,56,21,3,81,26,133,30,41,31,129,55,,
E09000002,Barking and Dagenham,E01000038,1021,397,142,38,10,4,49,20,49,39,49,22,136,66,,
E09000002,Barking and Dagenham,E01000039,1144,494,152,19,9,1,68,14,60,44,46,30,140,67,,
E09000002,Barking and Dagenham,E01000040,1096,366,144,53,7,3,54,22,78,66,84,47,96,76,,
E09000002,Barking and Dagenham,E01000041,1150,433,129,26,22,4,57,19,86,57,90,49,107,71,,
E09000002,Barking and Dagenham,E01000042,1189,349,141,45,14,2,46,25,109,84,127,56,82,109,,
E09000002,Barking and Dagenham,E01000043,913,296,114,37,17,6,32,25,66,39,73,32,98,78,,
E09000002,Barking and Dagenham,E01000044,1253,429,151,63,17,10,71,50,80,45,88,46,91,112,,
E09000002,Barking and Dagenham,E01000045,1130,393,147,30,15,2,59,30,78,59,80,51,91,95,,
E09000002,Barking and Dagenham,E01000046,1188,428,159,37,19,3,69,33,90,57,88,29,82,94,,
E09000002,Barking and Dagenham,E01000049,1112,290,147,84,12,7,42,25,125,54,114,47,66,99,,
E09000002,Barking and Dagenham,E01000050,1112,321,120,70,16,4,48,25,81,60,99,53,102,113,,
E09000002,Barking and Dagenham,E01000051,1252,306,150,79,19,5,27,20,132,109,134,84,46,141,,
E09000002,Barking and Dagenham,E01000052,1385,484,179,94,23,6,68,33,84,75,86,56,101,96,,
E09000002,Barking and Dagenham,E01000053,1029,395,99,34,29,5,50,18,81,61,55,47,93,62,,
E09000002,Barking and Dagenham,E01000054,1150,418,160,38,10,3,53,27,81,66,82,24,107,81,,
E09000002,Barking and Dagenham,E01000055,1093,406,130,42,21,2,55,29,85,48,79,27,89,80,,
E09000002,Barking and Dagenham,E01000056,1048,354,132,47,14,4,45,22,82,64,76,31,101,76,,
E09000002,Barking and Dagenham,E01000057,987,371,107,46,15,2,45,22,63,49,72,47,83,65,,
E09000002,Barking and Dagenham,E01000058,1284,489,170,47,19,4,54,26,79,68,91,40,104,93,,
E09000002,Barking and Dagenham,E01000059,1050,402,135,33,11,5,36,16,71,64,78,35,90,74,,
E09000002,Barking and Dagenham,E01000060,1174,409,149,39,23,5,42,28,95,68,84,36,124,72,,
E09000002,Barking and Dagenham,E01000061,1154,366,130,56,5,4,26,20,139,73,125,60,36,114,,
E09000002,Barking and Dagenham,E01000062,1299,495,149,63,12,4,51,22,112,59,92,36,129,75,,
E09000002,Barking and Dagenham,E01000063,1101,392,156,21,21,0,60,19,88,71,84,24,104,61,,
E09000002,Barking and Dagenham,E01000064,1252,437,159,50,18,4,68,34,85,63,84,42,109,99,,
E09000002,Barking and Dagenham,E01000065,1157,379,135,38,13,4,67,34,86,79,72,38,128,84,,
E09000002,Barking and Dagenham,E01000066,1323,476,153,46,28,6,64,39,65,69,114,57,111,95,,
E09000002,Barking and Dagenham,E01000067,1394,452,178,65,23,3,70,45,80,46,110,49,135,138,,
E09000002,Barking and Dagenham,E01000068,1171,408,146,71,29,8,57,33,48,23,89,49,104,106,,
E09000002,Barking and Dagenham,E01000069,1556,564,195,77,28,12,83,42,56,35,108,47,147,162,,
E09000002,Barking and Dagenham,E01000070,1121,382,130,52,29,7,68,25,57,19,81,45,124,102,,
E09000002,Barking and Dagenham,E01000071,1571,578,184,68,28,9,78,50,86,31,122,58,149,130,,
E09000002,Barking and Dagenham,E01000072,1331,431,147,69,12,4,65,18,101,100,128,42,123,91,,
E09000002,Barking and Dagenham,E01000073,1074,389,141,35,17,3,46,30,75,62,92,29,89,66,,
E09000002,Barking and Dagenham,E01000074,1052,374,139,50,16,4,47,26,68,63,67,36,101,61,,
E09000002,Barking and Dagenham,E01000075,1204,400,155,33,20,3,52,25,70,66,72,54,157,97,,
